,input,output,possible_outputs
1189,Sentence 1: It's a quarter til 4. Sentence 2: The wind is coming from that quarter. Word: quarter,not the same,"['not the same', 'no', 'false']"
2105,Sentence 1: The glass from the shattered windshield cut into her forehead. Sentence 2: The new tooth is cutting. Word: cut,not the same,"['not the same', 'no', 'false']"
3312,Sentence 1: Turn your dance partner around. Sentence 2: Turn the car around. Word: turn,same,"['same', 'yes', 'true']"
929,Sentence 1: A sense of danger. Sentence 2: A sense of happiness. Word: sense,same,"['same', 'yes', 'true']"
721,Sentence 1: I am not of your persuasion. Sentence 2: It is his persuasion that abortion should never be condoned. Word: persuasion,same,"['same', 'yes', 'true']"
2987,"Sentence 1: Strike a bargain. Sentence 2: The Germans struck Poland on Sept. 1, 1939. Word: strike",not the same,"['not the same', 'no', 'false']"
3938,Sentence 1: Toe the line. Sentence 2: A washing line. Word: line,not the same,"['not the same', 'no', 'false']"
1533,Sentence 1: The room has a wooden floor. Sentence 2: They needed rugs to cover the bare floors. Word: floor,same,"['same', 'yes', 'true']"
3937,Sentence 1: The police are following a promising lead. Sentence 2: We were just waiting for someone to take the lead. Word: lead,not the same,"['not the same', 'no', 'false']"
1212,Sentence 1: We must strike the enemy's oil fields. Sentence 2: Panic struck me. Word: strike,not the same,"['not the same', 'no', 'false']"
795,Sentence 1: Strike coins. Sentence 2: A bullet struck him. Word: strike,not the same,"['not the same', 'no', 'false']"
3978,"Sentence 1: If the vase falls to the floor, it might break. Sentence 2: He broke the glass plate. Word: break",same,"['same', 'yes', 'true']"
1702,Sentence 1: There was a reversal of autonomic function. Sentence 2: The reversal of the image in the lens. Word: reversal,not the same,"['not the same', 'no', 'false']"
3540,Sentence 1: Oil field. Sentence 2: He longed for the fields of his youth. Word: field,same,"['same', 'yes', 'true']"
3998,Sentence 1: We took a 10-minute break. Sentence 2: Let's take a five-minute break. Word: break,same,"['same', 'yes', 'true']"
2353,Sentence 1: I need to charge my car battery. Sentence 2: Don't forget to charge the drill. Word: charge,same,"['same', 'yes', 'true']"
1809,"Sentence 1: Can I have a dozen eggs, please? Sentence 2: I ordered two dozen doughnuts. Word: dozen",same,"['same', 'yes', 'true']"
1549,Sentence 1: He doesn't know how to use a computer. Sentence 2: Use this knife to slice the bread. Word: use,same,"['same', 'yes', 'true']"
2191,Sentence 1: Can you advance me some money? Sentence 2: To advance one's interests. Word: advance,not the same,"['not the same', 'no', 'false']"
2481,Sentence 1: I'll store these books in the attic. Sentence 2: Store grain for the winter. Word: store,same,"['same', 'yes', 'true']"
2799,Sentence 1: Come out of the closet! Sentence 2: He came singing down the road. Word: come,same,"['same', 'yes', 'true']"
2160,Sentence 1: I shall be writing to you soon. Sentence 2: He is a herpetologist. Word: be,not the same,"['not the same', 'no', 'false']"
3769,Sentence 1: A heroic figure. Sentence 2: He cut a fine figure. Word: figure,same,"['same', 'yes', 'true']"
