,input,output,template
266,The professors believed the senator.,The senator was believed by the professors.,temp35
253,The artist recognized the secretaries.,The secretaries were recognized by the artist.,temp36
877,The scientist helped the students.,The students were helped by the scientist.,temp36
712,The professor believed the senator.,The senator was believed by the professor.,temp35
515,The athletes encouraged the doctors.,The doctors were encouraged by the athletes.,temp36
4,The president encouraged the actor.,The actor was encouraged by the president.,temp35
677,The artists admired the athlete.,The athlete was admired by the artists.,temp35
274,The actor advised the bankers.,The bankers were advised by the actor.,temp36
757,The professors helped the doctor.,The doctor was helped by the professors.,temp35
413,The scientist advised the athletes.,The athletes were advised by the scientist.,temp36
539,The judge recommended the doctors.,The doctors were recommended by the judge.,temp36
524,The artist introduced the tourist.,The tourist was introduced by the artist.,temp35
817,The authors helped the doctor.,The doctor was helped by the authors.,temp35
302,The judge avoided the artist.,The artist was avoided by the judge.,temp35
389,The scientists introduced the judges.,The judges were introduced by the scientists.,temp36
646,The scientist contacted the actors.,The actors were contacted by the scientist.,temp36
56,The managers introduced the scientist.,The scientist was introduced by the managers.,temp35
653,The tourist encouraged the scientists.,The scientists were encouraged by the tourist.,temp36
68,The bankers advised the scientist.,The scientist was advised by the bankers.,temp35
182,The senators helped the tourist.,The tourist was helped by the senators.,temp35
601,The student thanked the tourists.,The tourists were thanked by the student.,temp36
628,The lawyers stopped the professor.,The professor was stopped by the lawyers.,temp35
816,The actors mentioned the managers.,The managers were mentioned by the actors.,temp36
680,The professors helped the secretary.,The secretary was helped by the professors.,temp35
469,The actor encouraged the judge.,The judge was encouraged by the actor.,temp35
399,The judge mentioned the manager.,The manager was mentioned by the judge.,temp35
860,The actor admired the banker.,The banker was admired by the actor.,temp35
479,The lawyers avoided the scientists.,The scientists were avoided by the lawyers.,temp36
393,The artist introduced the lawyer.,The lawyer was introduced by the artist.,temp35
387,The athlete admired the judge.,The judge was admired by the athlete.,temp35
94,The tourists contacted the actors.,The actors were contacted by the tourists.,temp36
501,The senator helped the scientists.,The scientists were helped by the senator.,temp36
635,The secretaries admired the author.,The author was admired by the secretaries.,temp35
485,The artists believed the professor.,The professor was believed by the artists.,temp35
340,The professor believed the artist.,The artist was believed by the professor.,temp35
243,The manager stopped the lawyers.,The lawyers were stopped by the manager.,temp36
650,The president mentioned the professor.,The professor was mentioned by the president.,temp35
605,The judges advised the doctors.,The doctors were advised by the judges.,temp36
840,The artists recommended the tourists.,The tourists were recommended by the artists.,temp36
104,The doctors thanked the senator.,The senator was thanked by the doctors.,temp35
569,The tourists mentioned the artist.,The artist was mentioned by the tourists.,temp35
878,The bankers believed the athlete.,The athlete was believed by the bankers.,temp35
741,The lawyer admired the actor.,The actor was admired by the lawyer.,temp35
669,The manager admired the artist.,The artist was admired by the manager.,temp35
360,The tourist advised the doctors.,The doctors were advised by the tourist.,temp36
802,The manager stopped the doctor.,The doctor was stopped by the manager.,temp35
246,The student helped the doctors.,The doctors were helped by the student.,temp36
367,The lawyers mentioned the tourists.,The tourists were mentioned by the lawyers.,temp36
514,The professors recognized the athlete.,The athlete was recognized by the professors.,temp35
709,The presidents thanked the senators.,The senators were thanked by the presidents.,temp36
495,The manager encouraged the professors.,The professors were encouraged by the manager.,temp36
737,The president thanked the artists.,The artists were thanked by the president.,temp36
788,The artist encouraged the student.,The student was encouraged by the artist.,temp35
114,The secretaries encouraged the authors.,The authors were encouraged by the secretaries.,temp36
428,The lawyer admired the author.,The author was admired by the lawyer.,temp35
556,The banker introduced the presidents.,The presidents were introduced by the banker.,temp36
516,The bankers encouraged the athlete.,The athlete was encouraged by the bankers.,temp35
202,The doctors thanked the secretaries.,The secretaries were thanked by the doctors.,temp36
172,The lawyer supported the athletes.,The athletes were supported by the lawyer.,temp36
722,The judge supported the lawyers.,The lawyers were supported by the judge.,temp36
8,The secretaries believed the tourists.,The tourists were believed by the secretaries.,temp36
477,The author recommended the artists.,The artists were recommended by the author.,temp36
400,The author believed the scientists.,The scientists were believed by the author.,temp36
575,The athletes stopped the manager.,The manager was stopped by the athletes.,temp35
614,The scientists recognized the presidents.,The presidents were recognized by the scientists.,temp36
754,The tourists introduced the artists.,The artists were introduced by the tourists.,temp36
584,The tourists admired the artists.,The artists were admired by the tourists.,temp36
564,The banker encouraged the athlete.,The athlete was encouraged by the banker.,temp35
557,The actor contacted the tourists.,The tourists were contacted by the actor.,temp36
363,The managers introduced the student.,The student was introduced by the managers.,temp35
679,The student believed the senators.,The senators were believed by the student.,temp36
597,The judge recognized the lawyers.,The lawyers were recognized by the judge.,temp36
663,The bankers contacted the doctor.,The doctor was contacted by the bankers.,temp35
454,The doctor recognized the students.,The students were recognized by the doctor.,temp36
886,The judge helped the doctor.,The doctor was helped by the judge.,temp35
889,The judges contacted the scientists.,The scientists were contacted by the judges.,temp36
649,The judge supported the athlete.,The athlete was supported by the judge.,temp35
818,The scientists helped the bankers.,The bankers were helped by the scientists.,temp36
211,The author admired the presidents.,The presidents were admired by the author.,temp36
425,The professor supported the managers.,The managers were supported by the professor.,temp36
839,The lawyers supported the secretary.,The secretary was supported by the lawyers.,temp35
384,The actors mentioned the student.,The student was mentioned by the actors.,temp35
31,The senators advised the professors.,The professors were advised by the senators.,temp36
523,The artists supported the doctors.,The doctors were supported by the artists.,temp36
283,The president advised the judges.,The judges were advised by the president.,temp36
370,The author contacted the actors.,The actors were contacted by the author.,temp36
223,The actors stopped the artists.,The artists were stopped by the actors.,temp36
673,The presidents introduced the athlete.,The athlete was introduced by the presidents.,temp35
79,The scientist encouraged the banker.,The banker was encouraged by the scientist.,temp35
598,The athletes recommended the scientists.,The scientists were recommended by the athletes.,temp36
179,The manager stopped the actors.,The actors were stopped by the manager.,temp36
763,The professor helped the athletes.,The athletes were helped by the professor.,temp36
667,The managers introduced the tourist.,The tourist was introduced by the managers.,temp35
330,The managers mentioned the scientists.,The scientists were mentioned by the managers.,temp36
616,The managers advised the professors.,The professors were advised by the managers.,temp36
352,The actor thanked the senators.,The senators were thanked by the actor.,temp36
397,The secretaries encouraged the judges.,The judges were encouraged by the secretaries.,temp36
35,The senator supported the managers.,The managers were supported by the senator.,temp36
58,The actor stopped the bankers.,The bankers were stopped by the actor.,temp36
436,The students helped the scientist.,The scientist was helped by the students.,temp35
