,input,output
27,"is fighting dataproducts a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts fighting
324,"was volume only 256.6 million shares , breaking the previous 1989 low of 276.8 million shares recorded oct. 23 .",volume was
192,joined he the firm in 1963 and bought it from the owners the next year .,he joined
331,"said dealers was drawn fresh buying into jaguar after told a senior executive of daimler-benz , the auto maker , a british television interviewer that held the west german company talks with the luxury auto maker over possible joint ventures during the weekend .",dealers said
172,"is hewlett-packard a palo alto , calif. , computer maker .",hewlett-packard is
91,"is also pushing ahead mitsubishi with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
85,"38.5 % is owned it by canadian express , another holding company .",it owned
466,"should do he more to reduce tax rates on wealth and income , in recognition of the fact that yield those cuts higher , not lower , revenues .",he do
441,is that typically about a three-week window .,that is
494,"last october , bought quebecor 23 canadian printing plants from bce inc. , a montreal telecommunications , manufacturing , energy and real estate company .",quebecor bought
481,assumed he contained the missing piece a gene or genes had whose loss a critical role in setting off the cancer .,he assumed
464,did not go as far as could have he he in tax reductions ; indeed combined he them with increases in indirect taxes .,he go
19,"holds alltel 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel holds
145,"in the first nine months , rose profit 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
457,"within two hours , pledged viewers over $ 400,000 , according to a red cross executive .",viewers pledged
396,could rule as early as today he on the motion seeking a temporary injunction against the dow jones offer .,he rule
436,also say critics charge american companies too much .,critics say
54,"yesterday , announced armstrong an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong announced
137,was bnl unable to elaborate on were planned what measures to improve controls on its branches abroad by the bank .,bnl was
437,"earlier this year , introduced it a much more powerful kanji operating system and a kanji laser printer .",it introduced
264,"in fact , was ltv the first steelmaker to publicly boost discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel .",ltv was
321,manufactures emc data-storage systems for mainframes and minicomputers .,emc manufactures
255,"was spun off four years ago intelogic from datapoint , after shortly took mr. edelman control of datapoint .",intelogic spun
387,keep we wondering what wanted mr. gates to say .,we keep
392,and would shift it the burden to prosecutors to disprove that caused discrimination any statistical racial disparities .,it shift
428,analyze others the data .,others analyze
5,but can think we of many reasons to stay out for the foreseeable future and well beyond .,we think
271,"amounted sales climbing 29 % from 787.02 billion yen to 1.011 trillion yen , .",sales amounted
58,"is he 37 , an astronomer with impressive credentials , and something of a genius at making do computers his bidding .",he is
284,"as part of the agreement , said cilcorp will pay it $ 4 million hunter in exchange for agreements not to compete .",cilcorp said
66,"has given healthcare a 12 % note for that overdue amount , to be repaid over three years healthvest .",healthcare given
376,"when spent recently catherine bobar several weeks at the medical center of vermont with a bone infection in her toe , shared she a room just like most patients .",she shared
298,"last week held hiroshima an auction expecting to pay about 11 million yen for the project to pick the contractor , .",hiroshima held
156,"joins he nov. 13 , dissolving his consulting firm , canter , achenbaum associates .",he joins
63,became he angry in return .,he became
377,expects mitsui the antibiotic products to be exported to southeast asia and africa .,mitsui expects
240,"earned coast $ 10.2 million , or 67 cents a share , in the year-ago quarter .",coast earned
60,some nights slept he under his desk .,he slept
293,said others might increase ibm the size of the offering to as much as $ 1 billion if is investor demand strong .,others said
386,notes he that stemmed most of the net sales drop from a three-day period following the friday the 13th plunge .,he notes
372,"might have been considered not long ago that hyperinflation , but endured argentina price increases of almost 200 % in july before bringing down sharply the rate in august and september .",that considered
44,"also has ifi nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi has
37,"feeling the naggings of a culture imperative , promptly signed up i .",i signed
470,believe officials has left this a gaping loophole are exploiting illegal drug businesses that .,officials believe
127,"instead has kept nissan its new stanza a bit smaller than that and cut 6 % the base price ; at $ 11,450 , start yet stanza prices $ 749 below the predecessor model have a more-powerful engine .",nissan kept
375,but says humana could serve its own facilities its insured for less if were properly equipped they .,humana says
16,"stuffing a wad of red man into his cheek , admits he has become the fastball brought he into the majors in 1955 a slowball .",he admits
430,"to transmit charts to branch offices , use they a fax machine .",they use
237,"unless eases soon the federal reserve interest rates to stimulate the economy , could remain profits disappointing .",profits remain
